chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228609385	228610886	RNA5S1	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228611626	228613127	RNA5S2	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228613867	228615368	RNA5S3	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228618349	228619850	RNA5S5	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228620564	228622065	RNA5S6	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228622784	228624285	RNA5S7	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228625026	228626527	RNA5S8	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228629507	228631008	RNA5S10	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228631748	228633249	RNA5S11	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228633988	228635489	RNA5S12	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228636213	228637714	RNA5S13	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228640685	228642186	RNA5S15	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228642926	228644427	RNA5S16	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228645157	228646658	RNA5S17	.	+
chr1	228607901	228647200	peak_54_Up	0.39	.	chr1	228638454	228639955	RNA5S14	.	+
chr12	20551101	20552400	peak_141_Up	0.39	.	chr12	20550589	20552090	RP11-424C20.2	.	+
chr13	110614001	110615300	peak_177_Up	0.34	.	chr13	110614544	110616045	NAXD	.	+
chr15	20339301	20344900	peak_235_Up	0.34	.	chr15	20343735	20345236	RP11-509A17.3	.	+
chr18	105501	113400	peak_351_Up	0.35	.	chr18	108064	109565	ROCK1P1	.	+
chr18	23455101	23456200	peak_369_Down	-0.36	.	chr18	23455370	23456871	Y_RNA	.	+
chr18	23455101	23456200	peak_369_Down	-0.36	.	chr18	23455370	23456871	Y_RNA	.	+
chr18	23455101	23456200	peak_369_Down	-0.36	.	chr18	23455370	23456871	Y_RNA	.	+
chr18	23455101	23456200	peak_369_Down	-0.36	.	chr18	23455370	23456871	Y_RNA	.	+
chr18	23455101	23456200	peak_369_Down	-0.36	.	chr18	23455370	23456871	Y_RNA	.	+
chr18	23455101	23456200	peak_369_Down	-0.36	.	chr18	23455370	23456871	Y_RNA	.	+
chr18	23455101	23456200	peak_369_Down	-0.36	.	chr18	23455370	23456871	Y_RNA	.	+
chr20	29077801	29083200	peak_499_Up	0.44	.	chr20	29079389	29080890	FRG1DP	.	+
chr20	29297301	29298300	peak_502_Up	0.39	.	chr20	29296245	29297746	5_8S_rRNA	.	+
chr21	10324701	10370300	peak_593_Up	0.33	.	chr21	10329731	10331232	EIF3FP1	.	+
chr22	15853701	15855100	peak_736_Up	0.51	.	chr22	15854242	15855743	TOMM40P2	.	+
chr5	34184801	34192700	peak_872_Up	0.39	.	chr5	34189055	34190556	RP11-1023L17.2	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	0	1077	MT-TF	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	0	1148	MT-RNR1	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	670	2171	MT-RNR2	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	2306	3807	MT-ND1	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	3469	4970	MT-ND2	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	4728	6229	MT-TN	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	4825	6326	MT-TC	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	4890	6391	MT-TY	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	4903	6404	MT-CO1	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	6585	8086	MT-CO2	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	7365	8866	MT-ATP8	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	7526	9027	MT-ATP6	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	8206	9707	MT-CO3	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	9058	10559	MT-ND3	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	9469	10970	MT-ND4L	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	9759	11260	MT-ND4	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	11336	12837	MT-ND5	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	13672	15173	MT-ND6	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	13741	15242	MT-TE	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	13746	15247	MT-CYB	.	+
chrM	1	16600	peak_1078_Up	0.36	.	chrM	15022	16523	MT-TP	.	+
